group,cell_id,sheath_id,sheath_length,somas,bites
sib_dmso,1,12,32.317,0,0
sib_dmso,1,13,19.695,0,0
sib_dmso,2,1,42.219,0,1
sib_dmso,2,2,70.162,0,1
sib_dmso,2,3,53.941,0,1
sib_dmso,2,4,55.108,0,1
sib_dmso,2,5,43.672,0,1
sib_dmso,2,6,33.849,0,1
sib_dmso,2,7,36.337,0,1
sib_dmso,2,8,53.032,0,1
sib_dmso,3,1,34.097,0,0
sib_dmso,3,2,49.833,0,0
sib_dmso,3,3,33.894,0,0
sib_dmso,3,4,47.47,0,0
sib_dmso,3,5,79.725,0,0
sib_dmso,4,1,15.171,0,0
sib_dmso,4,2,13.009,0,0
sib_dmso,4,3,41.05,0,0
sib_dmso,4,4,31.215,0,0
sib_dmso,4,5,37.24,0,0
sib_dmso,4,6,10.646,0,0
sib_dmso,4,7,6.69,0,0
sib_dmso,4,8,35.805,0,0
sib_dmso,4,9,50.049,0,0
sib_dmso,4,10,55.422,0,0
sib_dmso,4,11,57.426,0,0
sib_dmso,4,12,58.407,0,0
sib_dmso,4,13,18.633,0,0
sib_dmso,4,14,31.192,0,0
sib_dmso,4,15,4.348,0,0
sib_dmso,4,16,6.677,0,0
sib_dmso,4,17,3.667,0,0
sib_dmso,5,1,27.956,0,0
sib_dmso,5,2,10.416,0,0
sib_dmso,5,3,29.781,0,0
sib_dmso,5,4,61.345,0,0
sib_dmso,5,5,15.837,0,0
sib_dmso,5,6,40.042,0,0
sib_dmso,5,7,32.785,0,0
sib_dmso,5,8,38.477,0,0
sib_dmso,5,9,17.874,0,0
sib_dmso,5,10,59.455,0,0
sib_dmso,6,1,25.222,0,0
sib_dmso,6,2,57.359,0,0
sib_dmso,6,3,41.283,0,0
sib_dmso,6,4,31.915,0,0
sib_dmso,6,5,18.979,0,0
sib_dmso,6,6,52.89,0,0
sib_dmso,6,7,20.538,0,0
sib_dmso,6,8,36.097,0,0
sib_dmso,6,9,13.127,0,0
sib_dmso,7,1,29.248,1,0
sib_dmso,7,2,36.142,1,0
sib_dmso,7,3,27.112,1,0
sib_dmso,7,4,17.625,1,0
sib_dmso,7,5,81.106,1,0
sib_dmso,7,6,19.83,1,0
sib_dmso,7,7,35.983,1,0
sib_dmso,7,8,20.852,1,0
sib_dmso,7,9,29.264,1,0
sib_dmso,8,1,57.182,0,1
sib_dmso,8,2,16.027,0,1
sib_dmso,8,3,27.94,0,1
sib_dmso,8,4,38.346,0,1
sib_dmso,8,5,23.078,0,1
sib_dmso,8,6,23.055,0,1
sib_dmso,8,7,41.861,0,1
sib_dmso,8,8,32.298,0,1
sib_dmso,8,9,52.876,0,1
sib_dmso,8,10,26.489,0,1
sib_dmso,9,1,23.782,0,0
sib_dmso,9,2,26.615,0,0
sib_dmso,9,3,17.855,0,0
sib_dmso,9,4,26.335,0,0
sib_dmso,9,5,25.392,0,0
sib_dmso,9,6,42.169,0,0
sib_dmso,9,7,54.572,0,0
sib_dmso,9,8,26.551,0,0
sib_dmso,9,9,51.752,0,0
sib_dmso,10,1,26.659,0,0
sib_dmso,10,2,39.036,0,0
sib_dmso,10,3,29.789,0,0
sib_dmso,10,4,39.215,0,0
sib_dmso,10,5,29.468,0,0
sib_dmso,10,6,10.199,0,0
sib_dmso,10,7,37.909,0,0
sib_dmso,11,1,45.578,0,0
sib_dmso,11,2,48.152,0,0
sib_dmso,11,3,21.531,0,0
sib_dmso,11,4,12.532,0,0
sib_dmso,11,5,41.103,0,0
sib_dmso,11,6,42.962,0,0
sib_dmso,11,7,22.351,0,0
sib_dmso,11,8,27.181,0,0
