cell_id,area,dff,dur,dist_to_soma,acq_dur
3,4.7396,0.07225815,60,71.08128,1200
3,5.202,0.08683966,60,26.15323,1200
3,6.3580003,0.056836717,80,0,1200
3,4.046,0.06323776,60,70.68316,1200
3,6.4736004,0.1039795,160,6.358016,1200
3,3.5836,0.12478725,160,18.884544,1200
3,6.5892005,0.07495534,80,4.452635,1200
3,3.1212,0.07025955,60,20.653263,1200
3,4.624,0.07121223,80,70.10822,1200
3,6.0112,0.07362604,100,28.81663,1200
3,3.9304001,0.11037459,100,17.645073,1200
3,4.3928,0.079311274,60,26.419594,1200
3,2.89,0.072061844,40,69.8789,1200
3,4.624,0.056835186,100,4.966154,1200
3,2.312,0.06828042,40,67.65317,1200
3,4.9708,0.10806786,60,3.4169576,1200
3,3.2368002,0.08493376,60,20.251322,1200
3,2.6588001,0.061539926,60,43.78746,1200
3,1.9652001,0.084990844,40,4.772127,1200
3,3.5836,0.14892808,80,NA,1200
3,1.8496001,0.08282688,80,20.51686,1200
3,1.8496001,0.075374074,60,71.3579,1200
3,2.312,0.105866045,60,27.738667,1200
3,1.3872,0.0922531,40,28.73963,1200
3,3.1212,0.0833725,60,68.69941,1200
3,2.6588001,0.08251747,60,27.548395,1200
3,2.7744,0.0737965,100,5.194579,1200
3,3.0056,0.079299316,40,29.346552,1200
3,1.6184001,0.09953173,80,5.7182593,1200
3,1.5028,0.08538409,40,4.868059,1200
3,1.5028,0.07532389,60,28.140007,1200
3,1.2716,0.08351691,60,4.08,1200
3,1.2716,0.08571823,80,9.051529,1200
3,1.156,0.08813037,60,4.42,1200
3,1.156,0.09385908,60,4.42,1200
3,1.156,0.07362611,40,29.65026,1200
4,32.7148,0.06793546,320,39.426193,1200
4,68.0884,0.20707841,60,3.0410526,1200
4,15.1436,0.056480587,280,16.728003,1200
4,17.1088,0.06630613,320,45.440357,1200
4,10.288401,0.064979926,80,24.427767,1200
4,7.0516,0.062297136,80,62.053516,1200
4,8.3232,0.08085715,380,38.288883,1200
4,9.594801,0.059042454,280,22.047882,1200
4,9.248,0.07546673,100,41.820004,1200
