dff,fluor
0.0899015,GCaMP6s-CAAX
0.08617787,GCaMP6s-CAAX
0.08503663,GCaMP6s-CAAX
0.08404396,GCaMP6s-CAAX
0.08380396,GCaMP6s-CAAX
0.08264801,GCaMP6s-CAAX
0.08248892,GCaMP6s-CAAX
0.08181155,GCaMP6s-CAAX
0.08023426,GCaMP6s-CAAX
0.078096665,GCaMP6s-CAAX
0.07809469,GCaMP6s-CAAX
0.0779959,GCaMP6s-CAAX
0.077080764,GCaMP6s-CAAX
0.07686674,GCaMP6s-CAAX
0.07542972,GCaMP6s-CAAX
0.075031064,GCaMP6s-CAAX
0.07420638,GCaMP6s-CAAX
0.07198962,GCaMP6s-CAAX
0.06988352,GCaMP6s-CAAX
0.06953315,GCaMP6s-CAAX
0.06905872,GCaMP6s-CAAX
0.068984315,GCaMP6s-CAAX
0.06895199,GCaMP6s-CAAX
0.068724826,GCaMP6s-CAAX
0.06809043,GCaMP6s-CAAX
0.0677113,GCaMP6s-CAAX
0.06759165,GCaMP6s-CAAX
0.06414378,GCaMP6s-CAAX
0.063382134,GCaMP6s-CAAX
0.061804824,GCaMP6s-CAAX
0.061710466,GCaMP6s-CAAX
0.061618976,GCaMP6s-CAAX
0.06073884,GCaMP6s-CAAX
0.060108125,GCaMP6s-CAAX
0.057756323,GCaMP6s-CAAX
0.054030247,GCaMP6s-CAAX
0.051592164,GCaMP6s-CAAX
0.051083397,GCaMP6s-CAAX
0.050617903,GCaMP6s-CAAX
0.07161393,GCaMP6s-CAAX
0.06836672,GCaMP6s-CAAX
0.1458783,GCaMP6s-CAAX
0.07091758,GCaMP6s-CAAX
0.056113962,GCaMP6s-CAAX
0.050689083,GCaMP6s-CAAX
0.060875744,GCaMP6s-CAAX
0.066789135,GCaMP6s-CAAX
0.05779782,GCaMP6s-CAAX
0.05078096,GCaMP6s-CAAX
0.052859303,GCaMP6s-CAAX
0.059784852,GCaMP6s-CAAX
0.05190307,GCaMP6s-CAAX
0.05973922,GCaMP6s-CAAX
0.07877745,GCaMP6s-CAAX
0.050532356,GCaMP6s-CAAX
0.08765609,GCaMP6s-CAAX
0.05432378,GCaMP6s-CAAX
0.06885653,GCaMP6s-CAAX
0.068309516,GCaMP6s-CAAX
0.058329646,GCaMP6s-CAAX
0.059794795,GCaMP6s-CAAX
0.051650215,GCaMP6s-CAAX
0.067148715,GCaMP6s-CAAX
0.06814279,GCaMP6s-CAAX
0.06691508,GCaMP6s-CAAX
0.05100313,GCaMP6s-CAAX
0.056499496,GCaMP6s-CAAX
0.05998048,GCaMP6s-CAAX
0.070358515,GCaMP6s-CAAX
0.06760334,GCaMP6s-CAAX
0.06351557,GCaMP6s-CAAX
0.10749523,GCaMP6s-CAAX
0.05332344,GCaMP6s-CAAX
0.05113342,GCaMP6s-CAAX
0.06330198,GCaMP6s-CAAX
0.0534991,GCaMP6s-CAAX
0.056574855,GCaMP6s-CAAX
0.060123198,GCaMP6s-CAAX
0.070863605,GCaMP6s-CAAX
0.06613415,GCaMP6s-CAAX
0.060697194,GCaMP6s-CAAX
0.061694797,GCaMP6s-CAAX
0.055537313,GCaMP6s-CAAX
0.06013625,GCaMP6s-CAAX
0.09631806,GCaMP6s-CAAX
0.07651845,GCaMP6s-CAAX
0.052708045,GCaMP6s-CAAX
0.05915047,GCaMP6s-CAAX
0.068573266,GCaMP6s-CAAX
0.06494826,GCaMP6s-CAAX
0.07276575,GCaMP6s-CAAX
0.0661811,GCaMP6s-CAAX
0.057852283,GCaMP6s-CAAX
0.052168626,GCaMP6s-CAAX
0.08181885,GCaMP6s-CAAX
0.05939234,GCaMP6s-CAAX
0.07758496,GCaMP6s-CAAX
0.060148586,GCaMP6s-CAAX
0.087564625,GCaMP6s-CAAX
0.08081455,GCaMP6s-CAAX
0.06429592,GCaMP6s-CAAX
0.06154077,GCaMP6s-CAAX
0.10915095,GCaMP6s-CAAX
0.07520141,GCaMP6s-CAAX
0.082563534,GCaMP6s-CAAX
0.059175327,GCaMP6s-CAAX
0.06493776,GCaMP6s-CAAX
0.08665175,GCaMP6s-CAAX
0.13171776,GCaMP6s-CAAX
0.07093071,GCaMP6s-CAAX
0.0705211,GCaMP6s-CAAX
0.076938026,GCaMP6s-CAAX
0.06790358,GCaMP6s-CAAX
0.09511091,GCaMP6s-CAAX
0.09250744,GCaMP6s-CAAX
0.067253485,GCaMP6s-CAAX
0.07559575,GCaMP6s-CAAX
0.07717761,GCaMP6s-CAAX
0.055153627,GCaMP6s-CAAX
0.06266348,GCaMP6s-CAAX
0.060270283,GCaMP6s-CAAX
0.10767902,GCaMP6s-CAAX
0.06845652,GCaMP6s-CAAX
0.076825164,GCaMP6s-CAAX
0.113519244,GCaMP6s-CAAX
0.06598263,GCaMP6s-CAAX
0.0599451,GCaMP6s-CAAX
0.07383073,GCaMP6s-CAAX
0.063420154,GCaMP6s-CAAX
0.07082037,GCaMP6s-CAAX
0.05670116,GCaMP6s-CAAX
0.082150735,GCaMP6s-CAAX
0.057956815,GCaMP6s-CAAX
0.06438679,GCaMP6s-CAAX
0.08069164,GCaMP6s-CAAX
