fluor,puncta_id,puncta_area,cell_area,cell_id
mTagBFP-CAAX-2A-BoNT/B,4,2.40792,296.601,18
mTagBFP-CAAX-2A-dnVamp2,1,4.934988,328.124,1
mTagBFP-CAAX-2A-dnVamp2,2,1.332144,328.124,1
mTagBFP-CAAX-2A-dnVamp2,3,0.787176,328.124,1
mTagBFP-CAAX-2A-dnVamp2,4,5.389128,328.124,1
mTagBFP-CAAX-2A-dnVamp2,5,2.210148,328.124,1
mTagBFP-CAAX-2A-dnVamp2,6,2.179872,328.124,1
mTagBFP-CAAX-2A-dnVamp2,7,2.72484,328.124,1
mTagBFP-CAAX-2A-dnVamp2,1,1.089936,581.221,2
mTagBFP-CAAX-2A-dnVamp2,2,7.41762,581.221,2
mTagBFP-CAAX-2A-dnVamp2,3,0.363312,581.221,2
mTagBFP-CAAX-2A-dnVamp2,4,0.423864,581.221,2
mTagBFP-CAAX-2A-dnVamp2,5,4.723056,581.221,2
mTagBFP-CAAX-2A-dnVamp2,6,9.446112,581.221,2
mTagBFP-CAAX-2A-dnVamp2,1,3.451464,321.935,3
mTagBFP-CAAX-2A-dnVamp2,2,14.22972,321.935,3
mTagBFP-CAAX-2A-dnVamp2,3,4.601952,321.935,3
mTagBFP-CAAX-2A-dnVamp2,4,3.269808,321.935,3
mTagBFP-CAAX-2A-dnVamp2,5,11.171844,321.935,3
mTagBFP-CAAX-2A-dnVamp2,1,9.294732,403.577,4
mTagBFP-CAAX-2A-dnVamp2,2,2.391804,403.577,4
mTagBFP-CAAX-2A-dnVamp2,3,23.4639,403.577,4
mTagBFP-CAAX-2A-dnVamp2,4,3.17898,403.577,4
mTagBFP-CAAX-2A-dnVamp2,5,1.05966,403.577,4
mTagBFP-CAAX-2A-dnVamp2,1,15.8949,370.591,5
mTagBFP-CAAX-2A-dnVamp2,2,0.242208,370.591,5
mTagBFP-CAAX-2A-dnVamp2,1,13.6242,301.143,6
mTagBFP-CAAX-2A-dnVamp2,2,2.240424,301.143,6
mTagBFP-CAAX-2A-dnVamp2,1,1.241316,211.331,7
mTagBFP-CAAX-2A-dnVamp2,2,1.36242,211.331,7
mTagBFP-CAAX-2A-dnVamp2,3,0.45414,211.331,7
mTagBFP-CAAX-2A-dnVamp2,4,0.60552,211.331,7
mTagBFP-CAAX-2A-dnVamp2,5,2.028492,211.331,7
mTagBFP-CAAX-2A-dnVamp2,1,15.28938,259.56,8
mTagBFP-CAAX-2A-dnVamp2,2,1.271592,259.56,8
mTagBFP-CAAX-2A-dnVamp2,1,0.817452,232.519,9
mTagBFP-CAAX-2A-dnVamp2,2,0.15138,232.519,9
mTagBFP-CAAX-2A-dnVamp2,3,0.787176,232.519,9
